18409 3248441851
0 48 8175402
0 73 4628813
0 61 2571542
0 31 10884514
0 99 733250
0 42 830932
0 96 3631195
0 26 693746
0 23 3804158
0 30 1877156
1 89 4028656
1 17 8048085
1 21 5749020
1 92 3368451
1 84 9042754
1 47 8373372
1 23 260644
1 94 3097971
1 30 9139671
1 47 11229721
1 90 566033
1 55 4274471
1 62 1837906
1 60 2099611
1 15 11202449
1 85 10897107
1 22 5494190
1 10 7549371
2 10 4742295
2 27 113414
2 61 4321447
2 53 676413
2 84 555826
2 58 8325741
3 12 931256
3 33 9168162
3 48 3587305
3 44 7253366
3 76 6082912
3 34 2814034
3 76 6787035
3 63 2050316
3 71 4556819
3 96 6146889
3 17 2999640
3 36 10430829
3 97 755291
3 44 2935764
3 15 9186465
3 59 3628210
3 61 9702975
3 84 2117658
3 25 7970627
3 66 411212
3 57 4018975
3 92 5271017
3 79 6179455
3 61 6011928
3 87 540500
3 36 807708
3 57 6741759
3 87 10310142
4 56 10872963
4 70 10544937
4 54 2657296
4 65 4707860
4 68 1278326
4 34 5938467
4 13 194341
4 44 6334954
4 55 7436967
4 67 5250124
4 93 1952535
4 43 8151425
4 90 6844062
4 44 899610
4 91 4089911
4 75 9596160
4 33 2313889
5 42 9636232
5 38 3984080
5 55 8596491
5 42 8102308
5 98 954876
5 46 3132217
5 14 444569
5 35 6000698
5 88 4860128
5 63 10303493
5 75 2939013
5 75 554507
5 21 1671173
5 65 1075792
5 88 7961733
5 36 4924555
5 30 10558100
5 24 9726355
5 26 7276227
6 13 274635
6 51 302615
6 49 10435969
6 88 7013875
6 75 913982
6 51 1294073
6 82 6892997
6 84 8698632
6 43 6669428
6 94 6903573
6 70 7489251
6 16 4965801
6 70 1652152
6 100 4509653
6 85 1546963
6 45 4076307
6 78 8688734
6 100 1120112
6 91 1043727
6 93 723795
7 19 6089854
7 48 2443216
7 57 8952263
7 77 9875345
7 14 8274323
7 47 10914521
7 91 7681181
7 62 5555389
7 65 8923770
7 54 1153165
7 43 7192524
7 79 2074434
7 14 8179193
7 65 10195824
7 49 7604603
7 86 7539140
7 74 4981262
7 71 5351436
7 41 9197717
7 96 750377
7 33 6270324
8 80 1937981
8 14 9396434
8 18 7110106
8 77 6711942
8 12 2211570
8 58 6230105
8 76 198861
8 94 4849611
8 50 5583064
8 51 4222310
8 11 2316927
8 92 2212990
8 44 3743316
8 23 7383189
8 61 2919232
9 77 7453395
9 92 5516028
9 19 3377091
9 89 2146407
9 69 2678573
9 47 2146361
9 71 2332878
9 27 1070001
9 79 5790273
9 54 9340923
9 87 11203576
9 99 9714028
9 49 9124842
9 67 10073370
9 20 7113243
9 22 1351957
9 85 3831510
9 64 6038212
9 66 8862842
9 10 6382403
9 21 1919019
9 87 10059420
9 51 11109957
9 17 1914207
9 69 6371100
9 80 402554
9 64 3420069
9 18 7945659
9 39 10179947
9 65 5050085
10 47 8308652
10 69 1379041
10 24 9880839
10 40 680577
10 23 7318252
10 88 11124698
10 49 8989733
10 28 9390683
10 14 5685505
10 60 8723905
11 73 2072238
11 80 10368970
11 70 3358655
11 97 3831578
11 14 2349054
11 18 3364816
11 49 1600994
11 51 9702933
11 28 1310002
11 26 7290190
11 27 3517710
11 52 4295710
11 11 2529117
11 80 8324828
11 43 1262186
11 63 4710926
11 75 4430315
11 30 901124
11 14 9613027
11 14 2436699
11 20 4274184
11 53 4198792
11 86 1804601
11 95 2987749
11 61 2253475
11 84 10853466
11 41 10311359
11 93 8775890
11 10 9282072
11 16 4882417
12 94 10854975
12 51 2959237
12 35 2084986
12 76 1688465
12 53 4072822
12 23 9376089
12 31 199267
12 75 7140351
12 68 3131899
12 65 10639064
12 16 7402070
12 67 3389071
12 92 9033365
12 90 924874
12 53 2296135
12 20 1499565
12 72 4471529
12 21 3418981
12 99 283264
12 63 1483210
12 64 9693884
12 72 1142365
12 21 5772962
12 84 4057547
12 93 563299
12 40 5089939
13 65 11213461
13 66 11224081
13 90 9737347
13 78 6493026
13 11 8208975
13 24 3822858
13 56 5495534
13 37 8617803
13 77 3517930
13 90 6102110
13 81 423369
13 57 717732
13 53 10863148
13 49 3055208
13 72 7031603
13 45 2459799
13 44 1833998
13 23 4659450
13 24 656537
13 35 1700609
13 51 7550470
13 72 10912631
14 44 1134702
14 18 4783014
14 39 10965216
14 92 187625
14 83 3898017
14 55 10013972
14 16 10938024
14 44 1161069
14 42 8907283
14 34 2780386
14 16 10323551
14 76 11231155
14 30 1734695
14 44 2635741
14 69 119663
14 83 9896049
14 29 10523912
14 22 6670721
14 87 796857
14 84 4010888
14 81 7992669
14 31 8523001
14 64 9624960
14 45 9652862
14 94 3376612
14 82 8261721
14 88 3013791
14 82 1281959
14 94 2574385
14 24 6647361
15 28 9974697
15 41 371494
15 52 1894862
15 46 2082171
15 80 8017184
15 55 8388204
15 60 116832
15 44 1070152
15 56 7488218
15 22 7100419
15 84 1619298
16 68 496475
16 83 5527782
16 32 8781110
16 79 2691260
16 89 8642476
16 78 10575656
16 14 11021923
16 55 3567321
16 94 579213
16 15 10404071
16 58 5010704
16 49 4593741
16 72 4054430
16 79 2780193
16 65 2685686
16 83 11053558
16 31 2798639
16 68 10362861
16 30 3149276
16 27 603566
16 99 7840439
16 54 68162
16 50 1516256
16 98 4131214
16 50 8895336
16 20 5542799
16 80 3162565
17 63 3136615
17 14 2386039
17 58 9080777
17 89 10073366
17 24 5455666
17 70 10255588
17 33 7830464
17 66 9667478
17 88 10786173
17 92 1852412
17 65 2529424
17 17 647519
17 88 525501
17 39 2728790
17 100 9099324
17 82 5435260
17 67 10790179
17 70 1412763
17 81 2479376
17 69 4933543
17 92 8653267
17 91 8718898
17 18 723588
17 66 4747615
17 94 2191201
17 14 9922110
18 75 1604550
18 44 9635092
18 70 8344911
18 27 2955225
18 77 7085422
18 76 8188053
18 93 2773929
18 73 8433710
18 55 2771045
18 76 5118694
18 35 4061732
18 21 9072343
18 43 10920160
18 69 3255796
18 94 4959246
18 82 3017075
18 72 5926146
18 41 9329554
18 92 8295791
18 59 6573680
18 93 4221246
18 60 10281682
18 18 7299489
18 76 285876
18 26 9777393
18 97 10067802
18 12 9879747
18 14 1708082
18 32 9385533
18 71 153568
19 85 6640435
19 84 6015467
19 39 4413508
19 77 466460
19 90 7431420
19 92 10383641
19 30 6644777
19 63 8211844
19 14 2020822
19 65 8959905
19 29 6339930
19 89 3301604
19 100 6502003
19 20 5768093
19 94 8813524
19 17 8131049
19 85 6551979
19 44 1222694
19 22 5475419
19 26 8548113
19 91 5141027
19 100 6005072
19 20 9054304
19 86 1917923
19 80 6625353
19 18 5098913
19 13 7309495
19 58 5956876
19 50 1080669
20 85 5521945
20 15 4329551
20 82 4709891
20 26 7299168
20 16 8740502
20 18 4635193
20 82 6462104
20 18 7018923
20 86 9681518
20 13 10739934
20 62 7731599
20 85 6020076
20 48 6923284
20 50 6468690
20 71 3064724
20 39 7644979
20 25 9310888
20 48 7093324
20 60 3062695
21 65 1098667
21 81 4644543
21 95 1439723
21 10 7068525
21 84 5725400
21 94 9472762
21 100 9757613
21 75 10087555
21 15 1347940
21 92 8772763
21 20 3941054
21 30 6528007
21 62 3367074
21 39 9571954
21 53 8778042
21 96 4548132
21 78 9534607
21 26 10282933
21 76 942742
21 19 10104260
21 86 7415495
22 30 4197785
22 31 9365522
22 10 6761997
22 32 10450769
22 18 849679
22 11 8408934
23 100 9808833
23 22 1923760
23 33 2570138
23 51 8882327
23 56 2973975
23 21 2158941
23 54 9043163
24 36 5106393
24 22 6346659
24 18 2516094
24 50 5814635
24 88 9964957
24 70 4037902
24 90 10519362
24 79 10063654
24 73 6047993
24 79 1680176
24 98 6394662
24 30 4629396
25 72 5356065
25 62 2933350
25 73 10063856
25 15 8650094
25 16 10342124
25 33 1520403
25 91 9527415
25 15 10823766
25 98 1342101
25 96 1115405
25 37 8538921
25 57 5589911
25 10 4845040
25 58 5825306
25 62 9549342
25 32 9534458
25 50 4930638
25 76 2097891
25 97 7436052
26 71 6100082
26 36 1295188
26 58 984070
26 41 8908797
26 11 2364296
26 27 704555
26 55 1089176
26 70 1504161
26 74 3601049
26 66 10094250
26 19 10528645
26 63 8179573
26 25 7989829
26 61 4654335
26 47 11135687
26 68 7404314
26 68 5950885
27 51 9392726
27 46 9862896
27 17 7746843
27 51 4383236
27 57 321491
27 17 292679
27 85 9488652
27 19 5171359
27 100 10693710
27 84 5482457
27 86 6560815
27 89 5553760
27 15 8289712
27 79 6532007
27 14 10701615
27 88 3977257
27 53 1130839
28 41 6364087
28 65 4454670
28 29 1849499
28 48 9747869
28 19 2716504
28 78 1593638
28 76 4054104
28 20 1376069
28 97 7629022
28 95 1698295
29 21 5785116
29 43 9868999
29 20 1072152
29 62 9912713
29 62 11194070
29 33 4789487
29 41 2818239
29 19 10140837
30 60 9952838
30 94 5949165
30 62 6069430
30 93 6361908
30 55 8897171
30 35 8173682
30 30 2974598
30 54 2153601
30 74 4810542
30 91 9596077
30 40 7384212
30 72 6838243
30 12 5461967
31 51 5645691
31 88 1372795
31 53 3181317
31 91 9368852
31 69 9933802
31 51 3144869
31 99 9089702
31 37 3588758
31 87 9984178
31 17 2288884
31 20 521958
32 45 6025639
32 66 8746164
32 95 6305858
32 78 210733
32 97 8505899
32 82 3087774
33 70 4978463
33 63 3189402
33 87 8011431
33 10 7886330
33 33 10192520
33 37 8245918
33 52 1237081
33 16 11111487
33 14 10326148
33 56 10032292
33 55 6888152
33 18 8919399
34 86 2822491
34 60 2232813
34 57 7284635
34 13 8171646
34 47 9804236
34 17 4205404
34 17 6718882
34 99 1321244
34 35 5675014
34 35 8702178
34 96 3086445
34 78 3169232
34 15 905411
34 46 11030628
34 91 1349052
34 39 2640575
34 58 7603843
34 11 9331988
35 18 11107701
35 60 2787755
35 68 6744046
35 91 7673795
35 19 10233326
35 95 775462
35 81 10580121
35 67 3950509
35 77 4909844
35 13 4214050
35 46 11086044
35 60 4333847
35 31 4016789
35 68 5817241
35 12 1316808
35 13 3174685
35 39 7778112
35 79 8581669
35 93 5833046
35 24 6339171
35 71 496776
35 23 10161364
35 14 11184943
35 16 2766026
35 82 5850665
35 48 2487673
35 94 994711
35 53 5613404
35 68 2847706
36 21 1161339
36 35 9284072
36 46 595911
36 65 1849069
36 79 6887671
36 57 5888367
36 56 976360
36 14 6184972
36 67 2338434
36 78 565711
36 19 1207887
36 100 3229424
36 97 6106377
36 98 10481317
36 50 7484541
36 23 10822806
36 46 5869193
36 51 177230
37 96 3313374
37 79 8181105
37 77 5898552
37 12 3310608
37 49 6933496
37 63 2080214
37 41 121015
37 53 9663911
37 58 11009391
38 90 10504442
38 15 2269125
38 26 5746124
38 96 2050448
38 35 2118930
38 92 8351346
38 70 4083287
38 83 8738205
38 56 3919927
38 56 2450041
38 50 483191
38 31 7872270
38 44 10040589
38 59 5378363
38 26 2754075
38 35 10090474
38 94 5912961
38 17 4950906
38 92 3917790
38 41 10421478
38 11 1230337
39 95 3704471
39 67 5993157
39 100 8630072
39 42 9941234
39 83 2703191
39 11 2087262
39 76 2902305
39 12 5951769
39 89 7331811
39 49 10572973
39 56 3608088
39 39 7668031
39 19 10200361
39 50 602471
39 69 9688457
39 67 1562705
39 43 2064260
39 18 4092990
39 81 8109492
39 36 5709285
39 83 11168587
39 24 1909173
39 91 10257143
39 93 7576874
39 39 2376873
39 19 4080714
39 82 7372523
39 79 7561266
39 81 9602859
39 20 5706320
40 53 10138638
40 94 9887891
40 55 5615552
40 64 10568538
40 47 2099129
40 13 7710979
40 37 7347245
40 87 6951960
40 50 6957267
40 96 1400899
40 48 8376129
40 35 5386149
40 63 7907755
40 12 2588608
40 49 4376703
40 37 4720522
40 13 710138
40 73 10158306
40 77 8093513
40 62 7081980
40 94 10860583
40 74 8326777
40 20 7630316
40 73 8339912
40 41 9761595
40 60 11089001
40 13 2100122
40 30 5933649
40 92 5903278
40 51 2318048
41 92 548058
41 85 10567494
41 25 2390937
41 91 9246920
41 43 10995356
41 38 5464619
41 41 2389126
41 23 3876399
41 79 11068652
41 99 8560592
41 41 3745364
41 83 10893985
42 32 5185645
42 78 1407181
42 28 4602122
42 69 4155165
42 19 7254052
42 10 5732838
42 14 1374108
42 33 656428
42 87 2318349
42 34 4578679
42 61 9019838
42 61 5115775
42 26 906128
42 35 5055800
43 22 10884477
43 24 2945157
43 29 6140234
43 70 6749935
43 96 3208584
43 73 1842309
43 70 5977477
43 26 8851293
43 54 860943
43 42 6716634
43 69 5451832
43 48 556457
43 26 3391150
43 32 3066108
43 23 553663
43 31 3440737
43 41 9987296
43 27 4707142
43 89 3892592
43 77 1864728
43 70 2446157
43 66 379272
43 10 3439949
44 44 6739550
44 55 542316
44 91 1952524
44 45 6301989
44 80 10523356
44 27 3528523
44 68 1672644
44 75 1246166
44 96 3066284
44 66 9455614
44 27 9255002
44 48 4218387
44 23 6637768
44 30 4344900
44 28 4738695
44 99 9329268
44 23 6233603
44 28 1529923
44 82 4617011
45 44 4923420
45 61 1725355
45 88 6606755
45 92 1585570
45 59 5019242
45 71 5609299
45 22 632916
45 46 7582036
45 14 950055
45 58 930307
45 93 3392335
45 62 1207869
46 23 2559480
46 90 1850172
46 71 2239364
46 25 2223943
46 76 6664665
46 55 346711
46 87 892794
46 48 8901530
46 83 9903967
46 17 9569550
46 26 7806011
46 73 9617540
46 37 8249178
46 41 3271414
46 41 9412754
46 26 8617942
46 29 2262612
46 16 5990180
47 93 1521270
47 12 3077412
47 14 6978432
47 52 6970268
47 10 2314796
47 66 8855792
47 54 2811618
47 77 363085
47 20 8831939
47 51 5720660
47 13 2144043
47 14 672184
47 62 9649770
47 95 7034097
47 95 3831285
47 60 9538341
47 93 1753834
47 80 3140304
47 50 10119091
47 71 9948793
47 75 7977742
